user_type,sleep_hours,sleep_quality,screen_time,workload,energy_level,stress_level,previous_focus_hours,eye_strain,eye_discomfort,head_discomfort,mental_fatigue,neck_back_discomfort,difficulty_concentrating,focus_hours
Student,4.9840888006936055,3,9.777486400848158,4,2,5,3.608949054436514,3,2,2,4,3,5,0.0
Student,5.838369420154142,3,5.702735639977715,3,1,4,1.1244919765297192,2,2,3,2,4,5,0.0
Student,7.517808549586279,4,5.286566279115821,3,4,3,5.908325384815901,0,0,1,2,1,1,4.480783422574288
Student,5.819077844249222,2,7.607074527524861,5,2,5,1.5760701074090337,2,1,2,3,3,5,0.0
Student,8.12629531033597,3,4.542214257605256,2,4,3,4.313150474800624,0,0,2,0,2,0,4.624025568197188
Professional,8.34107177020511,4,3.1986459658388755,2,4,3,4.455053962572124,0,0,3,1,2,0,4.4748729889736545
Student,6.649791684003968,3,4.82727121822454,3,4,2,3.7660600506867046,0,0,1,1,0,0,3.788161735349902
Professional,5.868794710149986,1,9.219967359710123,3,1,3,2.1797844552976455,5,5,0,1,5,3,0.0
Student,7.4627152845188185,4,5.0663837788482065,5,5,2,6.693919573688606,3,3,2,2,4,0,3.0986087408995626
Student,7.5638367111945035,4,2.3825627840948638,4,4,1,6.456902895240021,0,0,0,1,0,0,7.893664423507959
Professional,7.52948438751356,4,3.0641126258204925,3,4,2,5.582003465366656,0,0,0,2,2,0,5.94537104360714
Student,5.843351242107953,3,9.496244591446013,2,1,3,1.9486453676899902,4,5,2,1,5,1,0.0
Student,6.239487417351864,1,5.20166926069226,2,1,3,1.4438750023282174,1,2,2,3,1,5,0.0
Professional,6.542018313972721,3,3.035108847791718,3,3,3,5.655716636122696,0,0,1,2,1,1,1.0074741149564495
Student,8.12612559442824,5,6.75272469009889,3,3,2,3.6454668648721666,2,2,0,1,1,0,3.4936418019945967
Professional,8.409107684835,5,5.571109653919711,3,3,2,4.131605347372917,3,2,2,1,1,0,4.862467771886566
Student,7.7164227535328935,3,3.970177106331883,3,4,3,3.175373961710631,0,0,0,3,3,3,1.8760193689049414
Professional,4.193707434480965,3,9.05365771745506,4,3,5,3.8019339224335575,3,4,3,3,5,5,0.0
Professional,5.167195247807761,2,9.910350655621118,4,1,4,2.330690036495508,1,2,1,3,5,5,0.0
Student,6.637507812844975,5,3.121663523231872,3,5,3,3.6119838108281623,0,0,2,2,0,0,5.395204027699598
